latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.189,-53.6308,476.6,1.0,1.0,2021-11-08,1713,Aqua,MODIS,100,6.03,310.6,1117.0,D,0
-13.823,-44.834,476.4,1.5,1.2,2021-10-06,1626,Aqua,MODIS,100,6.03,400.1,1905.7,D,0
-19.8356,-48.2144,476.4,1.0,1.0,2021-09-07,1655,Aqua,MODIS,100,6.03,337.6,1150.8,D,0
-21.224,-48.295,476.3,1.1,1.0,2021-09-05,1707,Aqua,MODIS,100,6.03,400.1,1191.9,D,0
-7.1567,-55.34,476.3,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,333.9,1358.0,D,0
-11.3409,-43.5476,476.2,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,1322.5,D,0
-13.8213,-44.8207,476.0,1.5,1.2,2021-10-06,1626,Aqua,MODIS,100,6.03,341.7,1883.4,D,0
-6.8729,-59.9969,476.0,1.0,1.0,2021-08-16,1736,Aqua,MODIS,100,6.03,316.2,1125.3,D,0
-12.047,-54.0253,476.0,1.0,1.0,2021-11-28,1350,Terra,MODIS,100,6.03,311.2,1133.7,D,0
-9.0468,-66.0398,475.8,1.7,1.3,2021-08-24,1824,Aqua,MODIS,100,6.03,328.4,2440.0,D,0
-6.6462,-53.4082,475.7,2.2,1.4,2021-08-08,1647,Aqua,MODIS,100,6.03,323.9,3543.4,D,0
-9.1637,-66.0265,475.7,1.3,1.1,2021-08-01,1818,Aqua,MODIS,100,6.03,323.4,1687.1,D,0
-9.6853,-53.5528,475.6,1.2,1.1,2021-08-29,1704,Aqua,MODIS,100,6.03,329.1,1419.5,D,0
-20.0099,-56.4564,475.4,1.1,1.0,2021-10-09,1405,Terra,MODIS,100,6.03,319.5,1178.0,D,0
-14.0908,-45.2073,475.2,1.1,1.0,2021-09-16,1651,Aqua,MODIS,100,6.03,400.1,1193.7,D,0
